Name,Symbol,Compliance Status
"Alliance Resource Partners, LP",ARLP,Pass
"Vertex Pharmaceuticals, Inc.",VRTX,Pass
Mckesson Corporation,MCK,Pass
"Church & Dwight Co., Inc.",CHD,Pass
Schneider National Inc,SNDR,Pass
PepsiCo Inc,PEP,Pass
"C.H. Robinson Worldwide, Inc.",CHRW,Pass
Colgate-Palmolive Co.,CL,Pass
Middleby Corp.,MIDD,Fail
Merck & Co Inc,MRK,Pass
Lilly(Eli) & Co,LLY,Pass
ServiceNow Inc,NOW,Pass
"EOG Resources, Inc.",EOG,Pass
Regal Rexnord Corp,RRX,Fail
Aspen Technology Inc,AZPN,Pass
"Qualcomm, Inc.",QCOM,Pass
NVIDIA Corp,NVDA,Pass
Amazon.com Inc.,AMZN,Questionable
Amazon.com Inc.,0R1O-LN,Questionable
Alphabet Inc,0RIH-LN,Questionable
Alphabet Inc,GOOGL,Questionable
Alphabet Inc,0HD6-LN,Questionable
Alphabet Inc,GOOG,Questionable
Microsoft Corporation,0QYP-LN,Questionable
Microsoft Corporation,MSFT,Questionable
Apple Inc,0R2V-LN,Pass
Apple Inc,AAPL,Pass
Procter & Gamble Co.,PG,Pass
Tesla Inc,TSLA,Pass
